N° Circuito,Carga,Configuración,Resistencia (-),Resistencia (+), SI , NO 
1,29,L-PE,0.83 ohm,0.83 ohm,X , 
1,29,N-PE,0.56 ohm,0.57 ohm,X , 
1,30,L-N,0.83 ohm,0.84 ohm,X , 
1,30,L-PE,0.81 ohm,0.81 ohm,X , 
1,30,N-PE,0.62 ohm,0.63 ohm,X , 
2,1,L-N,0.00 ohm,0.01 ohm,X , 
2,1,L-PE,0.09 ohm,0.09 ohm,X , 
2,1,N-PE,0.05 ohm,0.04 ohm,X , 
2,2,L-N,0.00 ohm,0.00 ohm,X , 
2,2,L-PE,0.06 ohm,0.06 ohm,X , 
2,2,N-PE,0.08 ohm,0.07 ohm,X , 
2,3,L-N,0.01 ohm,0.01 ohm,X , 
2,3,L-PE,0.12 ohm,0.12 ohm,X , 
2,3,N-PE,0.00 ohm,0.00 ohm,X , 
2,4,L-N,0.00 ohm,0.00 ohm,X , 
2,4,L-PE,0.00 ohm,0.00 ohm,X , 
2,4,N-PE,0.21 ohm,0.20 ohm,X , 
2,5,L-N,0.00 ohm,0.00 ohm,X , 
2,5,L-PE,0.00 ohm,0.00 ohm,X , 
2,5,N-PE,0.11 ohm,0.11 ohm,X , 
3,1,L-N,0.59 ohm,0.60 ohm,X , 
3,1,L-PE,0.68 ohm,0.68 ohm,X , 
3,1,N-PE,0.73 ohm,0.73 ohm,X , 
3,2,L-N,0.38 ohm,0.38 ohm,X , 
3,2,L-PE,0.54 ohm,0.54 ohm,X , 
3,2,N-PE,0.53 ohm,0.53 ohm,X , 
3,3,L-N,0.31 ohm,0.31 ohm,X , 
3,3,L-PE,0.43 ohm,0.43 ohm,X , 
3,3,N-PE,0.47 ohm,0.47 ohm,X , 
3,4,L-N,0.22 ohm,0.23 ohm,X , 
3,4,L-PE,0.36 ohm,0.36 ohm,X , 
3,4,N-PE,0.37 ohm,0.37 ohm,X , 
3,5,L-N,0.00 ohm,0.00 ohm,X , 
3,5,L-PE,0.06 ohm,0.06 ohm,X , 
3,5,N-PE,0.08 ohm,0.08 ohm,X , 
3,6,L-N,0.00 ohm,0.00 ohm,X , 
3,6,L-PE,0.14 ohm,0.14 ohm,X , 
3,6,N-PE,0.13 ohm,0.12 ohm,X , 
3,7,L-N,0.04 ohm,0.03 ohm,X , 
3,7,L-PE,0.19 ohm,0.19 ohm,X , 
3,7,N-PE,0.19 ohm,0.19 ohm,X , 
4,1,L-N,0.15 ohm,0.15 ohm,X , 
4,1,L-PE,0.16 ohm,0.17 ohm,X , 
4,1,N-PE,0.15 ohm,0.15 ohm,X , 
4,2,L-N,0.35 ohm,0.35 ohm,X , 
4,2,L-PE,0.38 ohm,0.39 ohm,X , 
4,2,N-PE,0.39 ohm,0.38 ohm,X , 
4,3,L-N,0.56 ohm,0.57 ohm,X , 
4,3,L-PE,0.59 ohm,0.59 ohm,X , 
4,3,N-PE,0.62 ohm,0.62 ohm,X , 
4,4,L-N,0.59 ohm,0.59 ohm,X , 
4,4,L-PE,0.63 ohm,0.63 ohm,X , 
4,4,N-PE,0.65 ohm,0.65 ohm,X , 
4,5,L-N,0.21 ohm,0.21 ohm,X , 
4,5,L-PE,0.22 ohm,0.23 ohm,X , 
4,5,N-PE,0.28 ohm,0.28 ohm,X , 
4,6,L-N,0.48 ohm,0.49 ohm,X , 
4,6,L-PE,0.51 ohm,0.52 ohm,X , 
4,6,N-PE,0.56 ohm,0.56 ohm,X , 
4,7,L-N,0.41 ohm,0.43 ohm,X , 
4,7,L-PE,0.45 ohm,0.45 ohm,X , 
4,7,N-PE,0.49 ohm,0.49 ohm,X , 
5,1,L-N,0.13 ohm,0.14 ohm,X , 
5,1,L-PE,0.15 ohm,0.16 ohm,X , 
5,1,N-PE,0.36 ohm,0.36 ohm,X , 
5,2,L-N,0.00 ohm,0.00 ohm,X , 
5,2,L-PE,0.01 ohm,0.01 ohm,X , 
5,2,N-PE,0.21 ohm,0.21 ohm,X , 
5,3,L-N,0.50 ohm,0.50 ohm,X , 
5,3,L-PE,0.52 ohm,0.51 ohm,X , 
5,3,N-PE,0.53 ohm,0.54 ohm,X , 
5,4,L-N,0.04 ohm,0.04 ohm,X , 
5,4,L-PE,0.06 ohm,0.05 ohm,X , 
5,4,N-PE,0.09 ohm,0.09 ohm,X , 
5,5,L-N,0.12 ohm,0.11 ohm,X , 
5,5,L-PE,0.13 ohm,0.12 ohm,X , 
5,5,N-PE,0.14 ohm,0.14 ohm,X , 
6,1,L-N,0.00 ohm,0.00 ohm,X , 
6,1,L-PE,0.00 ohm,0.00 ohm,X , 
6,1,N-PE,0.27 ohm,0.27 ohm,X , 
6,2,L-N,0.00 ohm,0.00 ohm,X , 
6,2,L-PE,0.00 ohm,0.00 ohm,X , 
6,2,N-PE,0.33 ohm,0.33 ohm,X , 
6,3,L-N,0.00 ohm,0.00 ohm,X , 
6,3,L-PE,0.00 ohm,0.00 ohm,X , 
6,3,N-PE,0.42 ohm,0.42 ohm,X , 
6,4,L-N,0.04 ohm,0.04 ohm,X , 
6,4,L-PE,0.06 ohm,0.06 ohm,X , 
6,4,N-PE,0.50 ohm,0.50 ohm,X , 
6,5,L-N,0.00 ohm,0.00 ohm,X , 
6,5,L-PE,0.00 ohm,0.00 ohm,X , 
6,5,N-PE,0.12 ohm,0.12 ohm,X , 
6,6,L-N,0.00 ohm,0.00 ohm,X , 
6,6,L-PE,0.00 ohm,0.00 ohm,X , 
6,6,N-PE,0.18 ohm,0.18 ohm,X , 
6,7,L-N,0.00 ohm,0.00 ohm,X , 
6,7,L-PE,0.00 ohm,0.00 ohm,X , 
6,7,N-PE,0.08 ohm,0.07 ohm,X , 
1,1,L-N,0.09 ohm,0.07 ohm,X , 
1,1,L-PE,0.21 ohm,0.19 ohm,X , 
1,1,N-PE,0.07 ohm,0.07 ohm,X , 
2,1,L-N,0.00 ohm,0.00 ohm,X , 
2,1,L-PE,0.00 ohm,0.00 ohm,X , 
2,1,N-PE,0.00 ohm,0.00 ohm,X , 
3,1,L-N,0.00 ohm,0.00 ohm,X , 
3,1,L-PE,0.00 ohm,0.00 ohm,X , 
3,1,N-PE,0.00 ohm,0.00 ohm,X , 
4,1,L-N,0.00 ohm,0.00 ohm,X , 
4,1,L-PE,0.00 ohm,0.00 ohm,X , 
4,1,N-PE,0.00 ohm,0.00 ohm,X , 
5,1,L-N,0.00 ohm,0.00 ohm,X , 
5,1,L-PE,0.00 ohm,0.00 ohm,X , 
5,1,N-PE,0.30 ohm,0.30 ohm,X , 
5,2,L-N,0.35 ohm,0.35 ohm,X , 
5,2,L-PE,0.33 ohm,0.33 ohm,X , 
5,2,N-PE,0.36 ohm,0.36 ohm,X , 
6,1,L-N,0.26 ohm,0.26 ohm,X , 
6,1,L-PE,0.24 ohm,0.24 ohm,X , 
6,1,N-PE,0.28 ohm,0.28 ohm,X , 
6,2,L-N,0.15 ohm,0.17 ohm,X , 
6,2,L-PE,0.19 ohm,0.24 ohm,X , 
6,2,N-PE,0.17 ohm,0.16 ohm,X , 
1001,Al.,L-N,0.46 ohm,0.47 ohm,X , 
1001,Al.,L-PE,0.50 ohm,0.53 ohm,X , 
1001,Al.,N-PE,0.33 ohm,0.32 ohm,X , 
1002,Al.,L-N,0.35 ohm,0.33 ohm,X , 
1002,Al.,L-PE,0.27 ohm,0.27 ohm,X , 
1002,Al.,N-PE,0.24 ohm,0.23 ohm,X , 
